periodo,operador,id,anno,pais,tipo_de_mercado,servicio,concepto,tipo_de_ingreso,tipo_de_cliente,segmento,tipo_de_trafico,tipo_de_contrato,tipo_de_linea,tipo_de_mensaje,tipo_de_trafico_de_mensaje,tecnologia_de_acceso,velocidad_baf,tipo_de_oferta,tipo_de_tarifa,tipo_de_ce_minorista,tipo_de_circuito,tipo_de_emision,tipo_de_operador,tipo_de_medio,tipo_de_publicidad,tipo_de_contratacion,tipo_servicio_audiovisual_mayorista,tipo_de_ba_may,tipo_de_interconexion,tipo_de_tarificacion_en_interconexion,tipo_de_transmision_de_datos,tipo_de_ambito,tipo_de_acceso_de_infraestructuras,unidades,ingresos,ingresos_por_operador,clientes,clientes_por_operador,lineas_o_accesos,tasa_de_penetracion,lineas_o_accesos_por_operador,portabilidades,trafico,trafico_por_operador,mensajes,mensajes_por_operador_1,trafico_de_datos,trafico_de_datos_por_operador,circuitos,publicidad,contrataciones,fibra_oscura_por_operador,telefonos_publicos,cabinas,estaciones_base_por_operador,anio
,,5103,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4841,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4902,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,616.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,19450,8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.99,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,24209,10055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,291.57,0.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4842,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,14961,6033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,41757,16088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42.41,0.0,0.0,0.0,0.0,267674.0,0.0,0.0,402.5,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,70921,28154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,215.3,0.0,342817.0,0.0,0.0,639775.0,0.0,0.0,1095.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,5107,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,31208,12066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.04,0.0,0.0,0.0,0.0,115461.0,0.0,0.0,62.5,0.0,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,19466,8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.31,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,55592,22121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,564.24,0.0,1299931.0,0.0,0.0,2297435.0,0.0,0.0,5739.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4903,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,816.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,224583,90495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15350.84,0.0,8945555.0,0.0,0.0,70610705.0,0.0,0.0,119446.03,0.0,5820.629999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,62786,24132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,459.43,0.0,0.0,0.0,0.0,3867439.0,0.0,0.0,2899.95,0.0,162.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,75022,30165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1039.53,0.0,1919903.0,0.0,0.0,10826510.0,0.0,0.0,11322.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,147345,58319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3818.42,0.0,1368494.0,0.0,0.0,16465275.0,0.0,0.0,33866.28,0.0,2807.3900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,9752,4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.21,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,65657,26143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,147.56,0.0,256200.0,0.0,0.0,1326974.0,0.0,0.0,954.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
