periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion,anio
,,,,,,295,2007,,,,,,110607.0,0.0,27.1,2007
,,,,,,280,2007,,,,,,7.0,0.0,0.0,2007
,,,,,,291,2007,,,,,,1897.0,0.0,0.5,2007
,,,,,,281,2007,,,,,,8952.0,0.0,2.2,2007
,,,,,,292,2007,,,,,,492.0,0.0,0.1,2007
,,,,,,296,2007,,,,,,47378.0,0.0,11.6,2007
,,,,,,565,4014,,,,,,941.0,0.0,0.3,2007
,,,,,,293,2007,,,,,,1806.0,0.0,0.4,2007
,,,,,,297,2007,,,,,,1040.0,0.0,0.3,2007
,,,,,,284,2007,,,,,,2402.0,0.0,0.6,2007
,,,,,,294,2007,,,,,,3006.0,0.0,0.7,2007
,,,,,,298,2007,,,,,,45034.0,0.0,11.0,2007
,,,,,,277,2007,,,,,,6315.0,0.0,1.5,2007
,,,,,,858,6021,,,,,,0.0,603.0,0.0,2007
,,,,,,288,2007,,,,,,20300.0,0.0,5.0,2007
,,,,,,300,2007,,,,,,3445.0,0.0,0.3,2007
,,,,,,314,2007,,,,,,2711.0,0.0,0.2,2007
,,,,,,301,2007,,,,,,84461.0,0.0,7.1,2007
,,,,,,315,2007,,,,,,291134.0,0.0,24.4,2007
,,,,,,320,2007,,,,,,252660.0,0.0,21.2,2007
,,,,,,605,4014,,,,,,82482.0,0.0,6.9,2007
,,,,,,316,2007,,,,,,115660.0,0.0,9.7,2007
,,,,,,304,2007,,,,,,18907.0,0.0,1.6,2007
,,,,,,317,2007,,,,,,1470.0,0.0,0.1,2007
,,,,,,321,2007,,,,,,152935.0,0.0,12.8,2007
,,,,,,305,2007,,,,,,9.0,0.0,0.0,2007
,,,,,,921,6021,,,,,,2754.0,0.0,0.2,2007
,,,,,,318,2007,,,,,,1864.0,0.0,0.2,2007
,,,,,,322,2007,,,,,,4855.0,0.0,0.4,2007
,,,,,,309,2007,,,,,,5933.0,0.0,0.5,2007
,,,,,,319,2007,,,,,,7430.0,0.0,0.6,2007
,,,,,,323,2007,,,,,,244368.0,0.0,20.5,2007
,,,,,,299,2007,,,,,,11478.0,0.0,1.0,2007
,,,,,,933,6021,,,,,,0.0,1644.0,0.0,2007
,,,,,,313,2007,,,,,,120021.0,0.0,10.1,2007
,,,,,,839,4014,,,,,,2061.0,0.0,0.3,2007
,,,,,,434,2007,,,,,,1594.0,0.0,0.2,2007
