anio,fecha,operador,mercado,servicio,tipo_de_ingreso,ingresos,id,pais,concepto,tipo_de_paquete,unidades,ingresos_por_operador,empleados_por_operador,paquetes,inversiones_por_operador,gastos_por_operador
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Interconexión fija,160869,611,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Interconexión móvil,154708,612,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Otros servicios mayoristas,62129,613,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Otros servicios minoristas,129287,625,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Servicios audiovisuales,33760,626,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Servicios de información telefónica,4058,627,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Telefonía fija,416963,628,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Telefonía móvil,743653,629,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Transmisión de datos,579,614,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Transporte y difusión de la señal audiovisual,37448,615,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Venta y alquiler de terminales,211719,630,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
10065,2013-01-01,Nan,nan,Datos generales,nan,0,3015,España,Paquetes,Resto,Unidades,0.0,0,11561838.0,0.0,0.0
2014,2014-01-01,Otros,nan,Datos generales,nan,0,644,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,2.15,0.0
2014,2014-01-01,Otros,nan,Datos generales,nan,0,635,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,25.0
10070,2014-01-01,Otros,nan,Datos generales,nan,0,3282,España,Gastos de explotación,nan,Millones de euros,54.14,830,0.0,0.16,0.29
